"Tytuł","Opis","Cena","Producent","Ocena","Liczba_opinii","Skład","Stopień_palenia","Zawartość_kofeiny","Rodzaj","Palarnia","Przeznaczenie","Opakowanie","Sposób_przygotowania","Crema","Wyczuwalne_smaki","Intensywność_smaku","Gorycz","Kwasowość","Słodycz","Pochodzenie_ziaren","Blend_czy_Single","Polecana_do","Kawa_Specialty","Waga_g","Cena_za_gram","Przedział_cenowy","Skorygowana_ocena"
"Kawa ziarnista BeMyBean Decaf Kolumbia Popayan FILTR 250g","Jasno palona bezkofeinowa arabika z Kolumbii przeznaczona pod przelew. Kolumbia Popayan ma słodki smak z wyczuwalną nutą ananasa, brzoskwini i mamby cytrynowej.",60,"BEMYBEAN",5,4," 100% Arabika"," Jasny"," Bezkofeinowa"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Ananas Brzoskwinie Cytrynowa mamba",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.24,"Luxury (> 0.2)",10
"Kawa ziarnista BeMyBean Funky Brew 1kg","Mieszanka arabiki z Brazylii i Burundi przeznaczona do przelewowych metod parzenia. Funky Brew ma słodki smak z wyczuwalną nuta papai, kaki i granoli.",139,"BEMYBEAN",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 1000g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Papaja Kaki Granola",0.6,0.2,0.2,1," Brazylia Burundi"," Blend / Mieszanki"," Kawa czarna"," Tak",1000,0.139,"Premium (0.1 - 0.2)",5
"Kawa ziarnista BeMyBean Funky Brew 250g","Mieszanka arabiki z Brazylii i Burundi przeznaczona do przelewowych metod parzenia. Funky Brew ma słodki smak z wyczuwalną nuta papai, kaki i granoli.",39,"BEMYBEAN",4.75,4," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Papaja Kaki Granola",0.6,0.2,0.2,1," Brazylia Burundi"," Blend / Mieszanki"," Kawa czarna"," Tak",250,0.156,"Premium (0.1 - 0.2)",9.5
"Kawa ziarnista BeMyBean Bass Brew 1kg","Mieszanka dwóch arabik, która sprawdzi się, jako kawa pod przelew. Bass Brew ma słodki smak z wyczuwalną nutą kakao, orzechów laskowych i nektarynki.",129,"BEMYBEAN",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 1000g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Kakao Orzechy laskowe Nektarynka",0.6,0.6,0.2,1," Brazylia Afryka Ameryka Południowa"," Blend / Mieszanki"," Kawa czarna"," Tak",1000,0.129,"Premium (0.1 - 0.2)",5
"Kawa ziarnista BeMyBean Bass Brew 250g","Mieszanka dwóch arabik, która sprawdzi się, jako kawa pod przelew. Bass Brew ma słodki smak z wyczuwalną nutą kakao, orzechów laskowych i nektarynki.",36,"BEMYBEAN",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Kakao Orzechy laskowe Nektarynka",0.6,0.6,0.2,1," Brazylia Afryka Ameryka Południowa"," Blend / Mieszanki"," Kawa czarna"," Tak",250,0.144,"Premium (0.1 - 0.2)",5
"Kawa ziarnista BeMyBean Kolumbia Valle del Cauca 1kg","Średnio palona kolumbijska arabika przeznaczona do ekspresów i kawiarek. Kolumbia Valle del Cauca to kawa o delikatnej kwasowości. Wyczujemy w niej nuty wiśni, żurawiny i karmelu.",129,"BEMYBEAN",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Wiśnia Żurawina Karmel",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.129,"Premium (0.1 - 0.2)",0
"Kawa ziarnista BeMyBean Kolumbia Valle del Cauca 250g","Średnio palona kolumbijska arabika przeznaczona do ekspresów i kawiarek. Kolumbia Valle del Cauca to kawa o delikatnej kwasowości. Wyczujemy w niej nuty wiśni, żurawiny i karmelu.",52,"BEMYBEAN",5,1," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Wiśnia Żurawina Karmel",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.208,"Luxury (> 0.2)",5
"Kawa ziarnista BeMyBean Decaf Kolumbia Popayan ESPRESSO 250g","Średnio palona bezkofeinowa arabika z Kolumbii przeznaczona do ekspresów i kawiarek. Decaf Kolumbia Popayan ma słodki smak z wyczuwalną nutą mirabelki, nektarynki i soku z czarnej porzeczki.",65,"BEMYBEAN",0,0," 100% Arabika"," Średni"," Bezkofeinowa"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Mirabelka Sok z czarnej porzeczki Nektarynka",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.26,"Luxury (> 0.2)",0
"Kawa ziarnista BeMyBean Heavy Bean 1kg","Średnio palona arabika z Brazylii przeznaczona do ekspresów i kawiarek. Heavy Bean ma słodki smak, w którym możemy wyczuć nuty cukru trzcinowego, gorzkiej czekolady i nugatu.",109,"BEMYBEAN",5,1," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Gorzka czekolada Cukier trzcinowy Nugat",0.6,1,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.109,"Premium (0.1 - 0.2)",5
"Kawa ziarnista BeMyBean Heavy Bean 250g","Średnio palona arabika z Brazylii przeznaczona do ekspresów i kawiarek. Heavy Bean ma słodki smak, w którym możemy wyczuć nuty cukru trzcinowego, gorzkiej czekolady i nugatu.",32,"BEMYBEAN",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Gorzka czekolada Cukier trzcinowy Nugat",0.6,1,0.2,1," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.128,"Premium (0.1 - 0.2)",0
"Kawa ziarnista BeMyBean Funky Bean 1kg","Średnio palona mieszanka arabiki z Burundi i Brazylii przeznaczona do ekspresów i kawiarek. Funky Bean ma słodki smak z wyczuwalną nutą pomelo i suszonych owoców.",119,"BEMYBEAN",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Pomelo Suszone owoce",0.6,0.2,0.2,1," Burundi Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.119,"Premium (0.1 - 0.2)",0
"Kawa ziarnista BeMyBean Funky Bean 250g","Średnio palona mieszanka arabiki z Burundi i Brazylii przeznaczona do ekspresów i kawiarek. Funky Bean ma słodki smak z wyczuwalną nutą pomelo i suszonych owoców.",39,"BEMYBEAN",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Pomelo Suszone owoce",0.6,0.2,0.2,1," Burundi Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.156,"Premium (0.1 - 0.2)",0
"Kawa ziarnista BeMyBean Brazylia Patrocinio 1kg","Średnio palona arabika z Brazylii przeznaczona do kawiarek i ekspresów ciśnieniowych. Brazylia Patrocinio ma zbalansowany smak, w którym możemy wyczuć nuty czereśni, kakao i nerkowca.",109,"BEMYBEAN",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czereśnie Orzechy nerkowca Kakao",0.6,0.6,0.2,0.6," Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.109,"Premium (0.1 - 0.2)",0
"Kawa ziarnista BeMyBean Brazylia Patrocinio 250g","Średnio palona arabika z Brazylii przeznaczona do kawiarek i ekspresów ciśnieniowych. Brazylia Patrocinio ma zbalansowany smak, w którym możemy wyczuć nuty czereśni, kakao i nerkowca.",32,"BEMYBEAN",5,2," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czereśnie Orzechy nerkowca Kakao",0.6,0.6,0.2,0.6," Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.128,"Premium (0.1 - 0.2)",7.07106781186548
"Kawa ziarnista BeMyBean Boogie Bean 1kg","Średnio palona brazylijska arabika przeznaczona do kawiarek i ekspresów ciśnieniowych. Boogie Bean to kawa, która świetnie łączy słodycz z goryczką. Wyczujemy w niej nuty mlecznej czekolady i orzechów laskowych.",109,"BEMYBEAN",5,1," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Mleczna czekolada Orzechy laskowe",0.6,0.6,0.2,0.6," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.109,"Premium (0.1 - 0.2)",5
"Kawa ziarnista BeMyBean Boogie Bean 250g","Średnio palona brazylijska arabika przeznaczona do kawiarek i ekspresów ciśnieniowych. Boogie Bean to kawa, która świetnie łączy słodycz z goryczką. Wyczujemy w niej nuty mlecznej czekolady i orzechów laskowych.",32,"BEMYBEAN",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Mleczna czekolada Orzechy laskowe",0.6,0.6,0.2,0.6," Brazylia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.128,"Premium (0.1 - 0.2)",0
"Kawa ziarnista Roastains Etiopia Mind-Blower 1kg","Średnio palona arabika specialty z Etiopii przeznaczona do ekspresów i kawiarek. Roastains Etiopia Mind-Blower z obróbki naturalnej ma mocno owocowy smak i urzekający aromat. Wyczujemy w niej nuty melona, czereśni i migdałów.",210,"ROASTAINS",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Melon Czereśnie Prażone migdały",1,0.2,0.6,0.6," Etiopia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.21,"Luxury (> 0.2)",0
"Kawa ziarnista Harvest Kolumbia Monteblanco 250g","Jasno palona arabika specialty przeznaczona do przelewowych metod parzenia z Kolumbii. Kawa Harvest Kolumbia Monteblanco została poddana fermentacji z owocami cytrusowymi i znajdziemy w niej nuty nektarynek, brzoskwini, śliwki i wanilii.",69,"HARVEST",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Brzoskwinie Nektarynka Śliwka Wanilia",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.276,"Luxury (> 0.2)",0
"Kawa ziarnista Java Honduras La Feliciana 250g","Jasno palona arabika Single Origin przeznaczona do przelewowych metod parzenia. Honduras La Feliciana ma słodki smak z wyczuwalną nutą Assam, orzechów włoskich, agrestu i czerwonego grejpfruta.",58,"JAVA COFFEE",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Herbata Assam Orzechy włoskie Agrest Czerwony grejpfrut",0.6,0.2,0.6,1," Honduras"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.232,"Luxury (> 0.2)",5
"Kawa ziarnista Java Rwanda Nova Cafe 250g","Jasno palona arabika Single Origin przeznaczona do przelewowych metod parzenia. Rwanda Nova Cafe ma słodki smak z nutami suszonej żurawiny, pomelo i czarnej herbaty.",55,"JAVA COFFEE",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Suszona żurawina Pomelo Czarna herbata",0.6,0.2,0.2,1," Rwanda"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.22,"Luxury (> 0.2)",0
"Kawa ziarnista MK Cafe Espresso 1kg","Wyjątkowa mieszanka arabiki i robusty, przeznaczona do ekspresów ciśnieniowych. MK Cafe Premium posiada intensywny smak z niską kwasowością.",59.99,"MK CAFE",5,1," Arabika, Robusta"," Ciemny"," Średnia"," Kawa ziarnista"," Polska"," Do biura Do domu Do kawiarni Do ekspresu automatycznego Do ekspresu kolbowego"," 1000g"," Ekspres automatyczny Ekspres kolbowy Ekspres przelewowy French Press Kawiarka Tradycyjny"," Trwała"," Ciemna czekolada Przyprawa korzenna Owoce",1,0.6,0.2,1,NA," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.05999,"Mid-range (0.05 - 0.1)",5
"Kawa ziarnista Paloma Kolumbia La Loma 200g","Jasno palona arabika Specialty z Kolumbii, która została poddana obróbce beztlenowej z datkiem dwutlenku węgla, dzięki czemu uzyskała unikalny smak i aromat. Paloma Kolumbia La Loma jest przeznaczona do alternatywnych metod parzenia.",67,"PALOMA",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 200g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Papaja Gruszka Pomarańcze",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",200,0.335,"Luxury (> 0.2)",0
"Kawa ziarnista Paloma Kolumbia Liczi Santa Mónica 200g","Wyjątkowy mikrolot z Kolumbii odmiany Castillo, który został poddany obróbce honey z dodatkiem liczi i drożdży winiarskich. Paloma Kolumbia Liczi Santa Mónica do przelewowych metod parzenia ma wyrazisty smak z nutami liczi, truskawek i wanilii.",104,"PALOMA",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 200g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Wanilia Karmel Liczi Truskawki",1,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",200,0.52,"Luxury (> 0.2)",5
"Kawa ziarnista Roastains Kostaryka Pura Vida FILTR 250g","Jasno palona arabika Single Origin z Kostaryki przeznaczona do przelewowych metod parzenia. Kostaryka Pura Vida ma słodki smak z wyczuwalną nutą żółtej wiśni, borówki amerykańskiej i karobu.",61,"ROASTAINS",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Żółta wiśnia Borówka Karob",0.6,0.2,0.2,1," Kostaryka"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.244,"Luxury (> 0.2)",5
"Kawa ziarnista Hard Beans Toucan Blend 3.0 1kg","Mieszanka arabiki i robusty w proporcjach 50/50, która doskonale sprawdzi się do przygotowania cappuccino z ekspresu ciśnieniowego. Hard Beans Toucan 3.0 posiada intensywny smak z wyczuwalną nutą orzechów i czekolady.",119,"HARD BEANS COFFEE ROASTERS",0,0," 50% Arabika, 50% Robusta"," Średnio-ciemny"," Wysoka"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki Do biura"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Kakao Czekolada Orzechy",1,1,0.2,0.2," Indonezja Uganda Wietnam Brazylia"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.119,"Premium (0.1 - 0.2)",0
"Kawa ziarnista HAYB Costa Rica Las Lajas Perla Negra 250g","Jasno palona arabika Single Origin z Kostaryki przeznaczona do przelewowych metod parzenia. Costa Rica Las Lajas Perla Negra ma owocowy smak z wyczuwalną nutą ananasa, mango i dżemu z czarnej porzeczki.",62.3,"HAYB SPECIALITY COFFEE",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Ananas Mango Dżem z czarnej porzeczki",0.6,0.2,0.2,1," Kostaryka"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.2492,"Luxury (> 0.2)",0
"Kawa ziarnista Qualia Rwanda Emmanuele Rutsatira 250g","Jasno palona arabika specialty przeznaczona do przelewowych metod parzenia. Qualia Rwanda Emmanuele Rutsatira ma owocowo-kwiatowy aromat z nutami zielonego jabłka, kwiatów i mirabelki.",58,"QUALIA",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Zielone jabłko Mirabelka Kwiaty",0.6,0.2,1,1," Rwanda"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.232,"Luxury (> 0.2)",0
"Kawa ziarnista  Qualia Indonezja Frinsa Sarapan 250g","Qualia Indonezja Frinsa Sarapan to jasno palona arabika specialty przeznaczona do alternatywnych metod parzenia. Poddana została obróbce mytej i fermentacji bakteriami zyskała wyjątkowy smak.",54,"QUALIA",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Goździki Ananas Mleczna czekolada Figa",0.6,0.2,0.2,1," Indonezja"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.216,"Luxury (> 0.2)",0
"Kawa ziarnista Qualia Salvador Salaverria 250g","Qualia Salvador Salaverria to jasno palona arabika specialty przeznaczona do alternatywnych metod parzenia. Kawa ma posmak herbaty i mandarynek.",51,"QUALIA",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Mandarynka Czarna herbata",0.6,0.2,0.2,1," Salwador"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.204,"Luxury (> 0.2)",0
"Kawa ziarnista KawePale Colombia Escobar Espresso 1kg","Średnio palona arabika jakości specialty z Kolumbii przeznaczona do ekspresów i kawiarek. KawePale Colombia Escobar urzeka słodkimi nutami czekolady i wanilii oraz przyjemnym posmakiem owoców.",208,"KawePale",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czerwona porzeczka Wanilia Mleczna czekolada",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",1000,0.208,"Luxury (> 0.2)",0
"Kawa ziarnista KawePale Dolce Vita Everyday 1kg","Wyrazisty blend arabiki i robusty 70/30, który doskonale pobudzi, dzięki większej zawartości kofeiny. KawePale Dolce Vita Everyday to intensywna kawa do ekspresów i kawiarek o nutach czekolady i orzechów.",110,"KawePale",5,1," 70% Arabika, 30% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 1000g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czekolada Orzechy",1,0.6,0.2,0.6," Brazylia Indie"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",1000,0.11,"Premium (0.1 - 0.2)",5
"Kawa ziarnista KawePale Dolce Vita Everyday 250g","Aromatyczny blend arabiki i robusty 70/30, który doskonale pobudzi, dzięki większej zawartości kofeiny. KawePale Dolce Vita Everyday to intensywna kawa do ekspresów i kawiarek o nutach czekolady i orzechów.",30,"KawePale",0,0," 70% Arabika, 30% Robusta"," Średni"," Wysoka"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czekolada Orzechy",1,0.6,0.2,0.6," Brazylia Indie"," Blend / Mieszanki"," Espresso Kawa czarna Cappuccino Latte"," Nie",250,0.12,"Premium (0.1 - 0.2)",0
"Kawa ziarnista KawePale Mexico Swiss Water Process Decaf 250g","KawePale Mexico Swiss Water Process Decaf to kawa bezkofeinowa przeznaczona do ekspresów i kawiarek. Jest to świetna propozycja dla osób, które nie chcą rezygnować ze smaku kawy i unikają kofeiny.",45,"KawePale",0,0," 100% Arabika"," Średni"," Bezkofeinowa"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Żurawina Czarna porzeczka Rodzynki",0.6,0.2,0.6,1," Meksyk"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.18,"Premium (0.1 - 0.2)",0
"Kawa ziarnista KawePale Colombia Escobar 250g","Średnio palona arabika jakości specialty z Kolumbii przeznaczona do ekspresów i kawiarek. KawePale Colombia Escobar urzeka słodkimi nutami czekolady i wanilii oraz przyjemnym posmakiem owoców.",55,"KawePale",0,0," 100% Arabika"," Średni"," Niska"," Kawa ziarnista"," Polska"," Do domu Do ekspresu automatycznego Do ekspresu kolbowego Do kawiarki"," 250g"," Ekspres automatyczny Ekspres kolbowy Kawiarka Tradycyjny"," Trwała"," Czerwona porzeczka Wanilia Mleczna czekolada",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Espresso Kawa czarna Cappuccino Latte"," Tak",250,0.22,"Luxury (> 0.2)",0
"Kawa ziarnista KawePale Brasil Paraiso Filtr 250g","Jednorodna arabika Specialty przeznaczona do przelewowych metod parzenia. KawePale Brasil Paraiso ma posmak brązowego cukru, czekolady, karmelu i czerwonych owoców.",39,"KawePale",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Karmel Czekolada Czerwone owoce Brązowy cukier",0.6,0.2,0.2,1," Brazylia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.156,"Premium (0.1 - 0.2)",0
"Kawa ziarnista KawePale Colombia La Loma Competition 250g","Wysokiej jakości jasno palona arabika specialty przeznaczona do przelewowych metod parzenia. KawePale Colombia La Loma Competition to kawa biorąca udział w zawodach baristycznych i",89,"KawePale",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Winogrona Rodzynki Zielona herbata",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.356,"Luxury (> 0.2)",0
"Kawa ziarnista KawePale Colombia Herrera Carbonic maceration 250g","Jasno palona arabika specialty przeznaczona do przelewowych metod parzenia. KawePale Colombia Herrera Carbonic maceration ma bogaty smak z nutami truskawek, pomelo i wina.",79,"KawePale",5,1," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Pomelo Truskawki Czerwone wino",0.6,0.2,0.2,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.316,"Luxury (> 0.2)",5
"Kawa ziarnista KawePale Colombia Itagui 250g","Jasno palona arabika specialty z Kolumbii przeznaczona do przelewowych metod parzenia. KawePale Colombia Itagui ma przyjemną owocową słodycz oraz egzotyczne akcenty w smaku.",69,"KawePale",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Czerwone owoce Rodzynki Winogrona Guawa",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.276,"Luxury (> 0.2)",0
"Kawa ziarnista KawePale Colombia Las Mercedes 250g","Jasno palona arabika specialty z Kolumbii poddana obróbce mytej. KawePale Colombia Las Mercedes jest przeznaczona do przelewów. Kawa ma przyjemną owocową słodycz i znajdziemy w niej nuty pomarańczy, pomelo i czekolady.",59,"KawePale",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Pomelo Czerwona pomarańcza Mleczna czekolada",0.6,0.2,0.6,1," Kolumbia"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.236,"Luxury (> 0.2)",0
"Kawa ziarnista KawePale Panama Altamira 250g","Jasno palona arabika specialty z Panamy przeznaczona do alternatywnych metod parzenia. W kawie KawePale Panama Altamira poczujesz tropikalne nuty mango, brzoskwini oraz cukru demerara.",67,"KawePale",0,0," 100% Arabika"," Jasny"," Niska"," Kawa ziarnista"," Polska"," Do alternatyw Do domu"," 250g"," Aeropress Chemex Dripper Ekspres przelewowy French Press Tradycyjny"," Delikatna"," Mango Brzoskwinie Cukier trzcinowy",0.6,0.2,0.2,1," Panama"," Single / Jednorodne"," Kawa czarna"," Tak",250,0.268,"Luxury (> 0.2)",0
